,Revenue SGD Mil,Net Income SGD Mil,Earnings Per Share SGD,Dividends SGD,Payout Ratio % *,Shares Mil,Book Value Per Share * SGD,Operating Cash Flow SGD Mil,Cap Spending SGD Mil,Free Cash Flow SGD Mil,Free Cash Flow Per Share * SGD,Revenue,SG&A,Other,Net Int Inc & Other,EBT Margin,Tax Rate %,Net Margin %,Asset Turnover (Average),Return on Assets %,Financial Leverage (Average),Return on Equity %,Operating Cash Flow Growth % YOY,Cap Ex as a % of Sales,Free Cash Flow/Sales %,Free Cash Flow/Net Income,Cash & Short-Term Investments,Accounts Receivable,Other Current Assets,Net PP&E,Intangibles,Other Long-Term Assets,Total Assets,Accounts Payable,Taxes Payable,Other Short-Term Liabilities,Total Liabilities,Total Stockholders' Equity,Total Liabilities & Equity,Financial Leverage,Debt/Equity,Fixed Assets Turnover,Asset Turnover
2010,5800.0,2696.0,1.69,0.6,35.5,1528.0,13.92,10407.0,-106.0,10301.0,6.74,100.0,15.02,24.09,55.11,55.11,15.0,44.65,0.03,1.3,9.96,12.8,44.83,1.83,177.6,3.82,18.05,0.0,-18.05,0.48,1.97,-2.45,100.0,0.6,0.33,-0.93,89.95,10.05,100.0,9.96,0.29,5.63,0.03
2011,5699.0,2327.0,1.42,0.6,39.6,1564.0,14.16,-9559.0,-187.0,-9747.0,-2.74,100.0,15.82,27.36,49.27,49.27,16.64,39.02,0.03,0.99,10.32,10.01,0.0,3.28,-171.03,-4.19,16.6,0.0,-16.6,0.44,1.77,-2.21,100.0,0.73,0.26,-0.99,90.3,9.7,100.0,10.32,0.51,5.51,0.03
2012,6475.0,2803.0,1.71,0.6,35.1,1578.0,14.56,6340.0,-221.0,6120.0,3.88,100.0,2.63,39.91,51.75,51.75,15.84,41.7,0.03,1.1,11.03,11.77,0.0,3.41,94.51,2.18,16.82,0.88,-17.7,0.49,1.65,-2.14,100.0,0.21,0.23,-0.44,90.08,9.92,100.0,11.03,0.63,5.67,0.03
2013,6713.0,3008.0,1.84,0.6,32.9,1580.0,15.97,-11695.0,-221.0,-11916.0,-3.48,100.0,2.38,40.79,53.39,53.39,15.6,43.27,0.03,1.08,11.12,11.98,0.0,3.3,-177.52,-3.96,18.1,0.81,-18.9,0.46,1.46,-1.92,100.0,0.19,0.17,-0.36,90.71,9.29,100.0,11.12,0.78,5.28,0.03
2014,7436.0,3249.0,1.97,0.7,34.4,1597.0,17.85,7111.0,-259.0,6852.0,0.33,100.0,2.68,39.63,51.44,51.44,14.66,42.32,0.03,1.07,10.67,11.59,0.0,3.48,92.15,2.11,19.04,0.51,-19.55,0.47,1.35,-1.82,100.0,0.18,0.12,-0.3,90.35,9.65,100.0,10.67,0.76,5.43,0.03
2015,8033.0,3209.0,1.93,0.85,44.5,1607.0,18.85,661.0,-692.0,-31.0,10.04,100.0,3.01,41.76,48.16,48.16,16.77,38.63,0.03,1.0,10.56,10.58,-90.7,8.61,-0.38,-0.01,17.68,1.24,-18.92,0.55,1.31,-1.86,100.0,0.22,0.14,-0.36,90.26,9.74,100.0,10.56,0.69,5.07,0.03
2016,8060.0,3096.0,1.85,0.7,37.2,1623.0,19.82,-13313.0,-383.0,-13696.0,-10.87,100.0,3.55,42.31,46.86,46.86,17.71,37.27,0.02,0.92,10.34,9.56,0.0,4.75,-169.93,-4.42,17.18,1.14,-18.32,0.55,1.22,-1.78,100.0,0.25,0.12,-0.37,90.33,9.67,100.0,10.34,0.81,4.45,0.02
2017,8853.0,3390.0,1.98,0.7,37.4,1657.0,20.84,3909.0,-349.0,3560.0,-4.16,100.0,4.13,41.37,47.52,47.52,19.02,37.14,0.03,0.94,9.73,9.43,0.0,3.95,40.21,1.05,20.4,0.84,-21.24,0.55,1.16,-1.7,100.0,0.2,0.15,-0.36,89.72,10.28,100.0,9.73,0.7,4.59,0.03
2018,9111.0,4008.0,2.33,0.95,41.1,1671.0,22.07,-3707.0,-516.0,-4224.0,2.13,100.0,4.55,39.39,52.97,52.97,16.69,42.77,0.02,1.04,10.32,10.47,0.0,5.67,-46.36,-1.05,18.14,0.7,-18.84,0.58,1.07,-1.65,100.0,0.23,0.13,-0.36,90.3,9.7,100.0,10.32,0.83,4.3,0.02
2019,10030.0,4343.0,2.54,1.05,41.5,1673.0,23.67,8333.0,-573.0,7760.0,-3.05,100.0,5.03,39.56,51.59,51.59,15.7,42.33,0.03,1.07,10.2,10.99,0.0,5.71,77.37,1.79,18.06,0.67,-18.72,0.68,1.03,-1.71,100.0,0.24,0.12,-0.36,90.19,9.81,100.0,10.2,0.66,3.99,0.03
TTM/Latest Quarter,10030.0,4343.0,2.54,1.05,41.3,1673.0,23.76,8333.0,-573.0,7760.0,0.0,100.0,5.03,39.56,51.59,51.59,15.7,42.33,0.03,1.07,10.2,10.99,0.0,5.71,77.37,1.79,18.06,0.67,-18.72,0.68,1.03,-1.71,100.0,0.24,0.12,-0.36,90.19,9.81,100.0,10.2,0.66,3.99,0.03
